#,Name,Instruction #1,Instruction #2,Instruction #3,Less Emotion,More Emotion,Happiness Domain,From Feelings (A),North Star (A),Parent Lineage,From Feelings (Final),To Feelings (Final),Specific Lineage,Time Required,Immediate?,Context
0,Know The Field of Conscious Awareness,"Sit with your eyes closed, bring your attention to your breath and notice the sensation of your breath moving in and out of your body.","Begin to notice your full field of awareness by taking in every sense perception, thought and body sensation that is arising all at once, keeping your attention on the whole of the field rather than any individual aspect arising within it.","Notice how your thoughts arise in your field of awareness just like any other perception or sensation: they come into you conscious awareness, moving quickly yet insubstantially like a stiff breeze, and then pass away like a breeze into the sky.",Anxiety,Contentment,presence,,Aware,buddhism,stressed,,,360,Yes,Alone
1,Remember Our Common Humanity,"Close your eyes and scan through your body, noticing and accepting any sensations or emotions that are present right now without judgement.","Bring to mind someone you don’t know well, perhaps someone who seems different or distant from you, for example someone with different political opinions, and notice how your sensations and emotions shift.","Imagine how this person has much in common with you: a body, brain and heart; how they went through a childhood and have a family; how they share so many similar hopes and dreams for those they love. Wish you both happiness, peace and ease.",Sadness,Compassion,meaning,,Perspective,,stressed,,,180,Yes,"Alone, Together"
2,Notice Your Body,Sit quietly for a moment and notice sensations in your body.,Where in your body do you feel relaxed and ready to go? Where in your body might you feel stiff or tense?,Continue to notice where the feelings live in your body. Shift to provide more comfort or relaxation if you’d like.,Anxiety,Contentment,body,"Sad, Stressed, Frustrated, Worried, Lonely",Enlightened,buddhism,stressed,accepting,Buddhist Eightfold Path: Right mindfulness,90,Yes,Alone
3,Notice Your Feelings,Sit quietly for a moment and notice what you’re feeling.,Try not to judge yourself. Just notice.,Becoming aware of our feelings can reduce their hold on us. Consider picking an emotion that you noticed to let go of or “release.”  ,Anger,Contentment,emotions,"Insecure, Stressed, self_critical, Lonely, Sad",Cognizant,buddhism,self_critical,present,Buddhist Eightfold Path: Right mindfulness,90,Yes,Alone
4,Name Your Difficult Feeling,"Pick a negative emotion you’ve been experiencing recently. Just for the day, give your feeling a silly name—the sillier, the better.","Every time that feeling gets uncomfortable today, say to yourself “Hey ______! You’re not welcome here!” ","Notice: Does the emotion feel lighter when you call it by a different, unserious name?",Anxiety,Contentment,emotions,"self_critical, Insecure, Stressed, Frustrated, Worried",Conscious,,stressed,accepting,Court jester,90,Yes,Alone
7,Acknowledge Your Need for Help,"Think about something you wish you had help with, whether big or small.",Be gentle with yourself. Recognize that you don't have to muscle through it alone. Allow yourself to open to the idea of asking for support. ,Identify a person or a couple of people who are well-suited to help. Identify a time when you can ask for their assistance. ,Anxiety,Love,relationships,"Sad, Stressed, Frustrated, Worried, Lonely",Raised up,,lonely,connected,Prayer of all kinds,60,Yes,Alone
8,Be Physically Comforted,"Find a throw, duvet, or heavy blanket and sit in front of it.","Bring someone calming and comforting to mind. Imagine that they’re sitting with you, wishing you well. ","Take the throw and place it around your shoulders, wrapping you in the warmth. Let the throw represent your calming person, and their positive wishes for you.",Anxiety,Contentment,body,"Lonely, Sad, Stressed, Insecure, self_critical",Cherished,,lonely,loving,,60,No,Alone
10,Remember a Mentor’s Advice,"Think about a mentor who cares about you, and who you care about.","Remember some wisdom they shared with you. Write down this wisdom, as well as anything it makes you think about or reflect.",Consider how that wisdom could serve you in this moment.,Anxiety,Gratitude,relationships,"Sad, Stressed, Frustrated, Worried, Lonely",Energized,,worried,inspired,,60,Yes,Alone
11,Nurture Gentleness with Yourself,Think of yourself as a small child.,Imagine that the little you is sitting right next to the adult you.,"Speak kindly to your young self, offering them reassurance and warm words about what life might bring.",Anxiety,Compassion,emotions,"Sad, Stressed, Frustrated, Worried, Lonely",Reassured,,lonely,compassionate,,60,Yes,Alone
12,Send Someone a Memory,Think of a loved one who you’d like to surprise or reach out to.,"Think of a happy experience you shared with that person. This can be a recent experience, or something far in the past.",Text them the memory. and let them know you’re thinking about them.,Sadness,Love,relationships,"Lonely, Loving, Bored",Pleasant,,lonely,loving,,60,Yes,Alone
